forecast_date,district,block,rainfall_mm,temp_max_degC,temp_min_degC,humidity_morning_pct,humidity_evening_pct,wind_speed_kmph,wind_direction_deg,cloud_cover_octa,warning
2025-08-22,ALIGARH,CHANDAUS,8.8,32.9,26.2,91,66,9,71,7,NG
2025-08-23,ALIGARH,CHANDAUS,23.7,31.2,26.1,93,68,13,92,6,"NG, HEAVY-RAIN"
2025-08-24,ALIGARH,CHANDAUS,15.5,30.1,26.0,95,72,11,105,7,Nil
2025-08-25,ALIGARH,CHANDAUS,17.8,29.2,25.1,96,77,12,93,8,Nil
2025-08-26,ALIGARH,CHANDAUS,14.8,29.3,26.0,95,75,14,305,7,Nil
2025-08-22,ALIGARH,DHANIPUR,8.8,32.9,26.2,91,66,9,71,7,NG
2025-08-23,ALIGARH,DHANIPUR,23.5,31.2,26.1,93,68,13,92,6,"NG, HEAVY-RAIN"
2025-08-24,ALIGARH,DHANIPUR,16.2,30.1,26.0,95,72,11,106,7,Nil
2025-08-25,ALIGARH,DHANIPUR,17.1,29.2,25.2,96,77,12,94,8,Nil
2025-08-26,ALIGARH,DHANIPUR,15.2,29.3,26.0,95,75,14,306,7,Nil
2025-08-22,ALIGARH,GANGIRI,9.1,32.9,26.2,91,66,9,71,7,NG
2025-08-23,ALIGARH,GANGIRI,23.7,31.2,26.1,93,68,13,146,6,"NG, HEAVY-RAIN"
2025-08-24,ALIGARH,GANGIRI,16.3,30.1,26.0,95,72,11,106,7,Nil
2025-08-25,ALIGARH,GANGIRI,17.1,29.1,25.2,96,77,12,94,8,Nil
2025-08-26,ALIGARH,GANGIRI,14.8,29.3,26.0,95,75,14,307,7,Nil
2025-08-22,ALIGARH,GONDA,9.7,32.9,26.2,91,66,9,70,7,NG
2025-08-23,ALIGARH,GONDA,23.2,31.2,26.2,93,68,13,92,6,"NG, HEAVY-RAIN"
2025-08-24,ALIGARH,GONDA,15.7,30.2,26.1,95,72,11,106,7,Nil
2025-08-25,ALIGARH,GONDA,16.9,29.2,25.2,96,76,11,95,8,Nil
2025-08-26,ALIGARH,GONDA,15.2,29.3,26.0,95,75,14,306,7,Nil
2025-08-22,ALIGARH,IGLAS,9.4,32.9,26.2,91,66,9,70,7,NG
2025-08-23,ALIGARH,IGLAS,23.7,31.3,26.2,93,68,13,92,6,"NG, HEAVY-RAIN"
2025-08-24,ALIGARH,IGLAS,15.7,30.2,26.1,95,72,11,107,7,Nil
2025-08-25,ALIGARH,IGLAS,17.1,29.2,25.2,96,76,11,95,8,Nil
2025-08-26,ALIGARH,IGLAS,15.0,29.3,26.0,95,75,14,306,7,Nil
2025-08-22,ALIGARH,JAWAN-SIKANDERPUR,8.7,32.9,26.2,91,66,9,71,7,NG
2025-08-23,ALIGARH,JAWAN-SIKANDERPUR,23.5,31.2,26.1,93,68,13,92,6,"NG, HEAVY-RAIN"
2025-08-24,ALIGARH,JAWAN-SIKANDERPUR,16.0,30.1,26.0,95,72,11,106,7,Nil
2025-08-25,ALIGARH,JAWAN-SIKANDERPUR,17.2,29.2,25.2,96,77,12,94,8,Nil
2025-08-26,ALIGARH,JAWAN-SIKANDERPUR,14.7,29.3,26.0,95,75,14,306,7,Nil
2025-08-22,ALIGARH,KHAIR,8.9,32.9,26.2,91,66,9,70,7,NG
2025-08-23,ALIGARH,KHAIR,23.6,31.2,26.1,93,68,13,92,6,"NG, HEAVY-RAIN"
2025-08-24,ALIGARH,KHAIR,15.5,30.1,26.0,95,72,11,106,7,Nil
2025-08-25,ALIGARH,KHAIR,17.4,29.2,25.2,96,77,12,147,8,Nil
2025-08-26,ALIGARH,KHAIR,15.2,29.3,26.0,95,75,14,306,7,Nil
2025-08-22,ALIGARH,LODHA,8.9,32.9,26.2,91,66,9,71,7,NG
2025-08-23,ALIGARH,LODHA,23.4,31.2,26.1,93,68,13,92,6,"NG, HEAVY-RAIN"
2025-08-24,ALIGARH,LODHA,16.2,30.2,26.0,95,72,11,106,7,Nil
2025-08-25,ALIGARH,LODHA,17.2,29.2,25.2,96,77,12,94,8,Nil
2025-08-26,ALIGARH,LODHA,15.1,29.3,26.0,95,75,14,306,7,Nil
2025-08-22,ALIGARH,TAPPAL,8.7,32.9,26.2,91,66,9,70,7,NG
2025-08-23,ALIGARH,TAPPAL,23.1,31.2,26.1,93,68,13,92,6,"NG, HEAVY-RAIN"
2025-08-24,ALIGARH,TAPPAL,15.9,30.1,26.0,95,72,11,105,7,Nil
2025-08-25,ALIGARH,TAPPAL,17.5,29.2,25.1,96,77,12,147,8,Nil
2025-08-26,ALIGARH,TAPPAL,15.4,29.3,26.0,95,75,14,305,7,Nil
2025-08-22,AMBEDKAR-NAGAR,AKBARPUR,28.4,32.0,26.1,94,73,3,115,6,"NG, HEAVY-RAIN"
2025-08-23,AMBEDKAR-NAGAR,AKBARPUR,16.4,30.2,26.0,95,75,12,88,7,NG
2025-08-24,AMBEDKAR-NAGAR,AKBARPUR,25.5,30.1,26.0,95,78,13,87,7,HEAVY-RAIN
2025-08-25,AMBEDKAR-NAGAR,AKBARPUR,31.3,30.2,26.0,95,75,12,85,8,HEAVY-RAIN
2025-08-26,AMBEDKAR-NAGAR,AKBARPUR,15.0,32.1,26.1,93,72,11,146,6,Nil
2025-08-22,AMBEDKAR-NAGAR,BASKHARI,28.2,32.0,26.1,94,73,3,112,6,"NG, HEAVY-RAIN"
2025-08-23,AMBEDKAR-NAGAR,BASKHARI,16.8,30.2,26.0,95,75,12,88,7,NG
2025-08-24,AMBEDKAR-NAGAR,BASKHARI,25.3,30.1,26.0,95,78,13,87,7,HEAVY-RAIN
2025-08-25,AMBEDKAR-NAGAR,BASKHARI,31.6,30.2,26.0,95,75,12,85,8,HEAVY-RAIN
2025-08-26,AMBEDKAR-NAGAR,BASKHARI,15.2,32.1,26.2,93,72,11,92,6,Nil
2025-08-22,AMBEDKAR-NAGAR,BHITI,28.4,32.0,26.1,94,73,3,115,6,"NG, HEAVY-RAIN"
2025-08-23,AMBEDKAR-NAGAR,BHITI,16.4,30.2,26.0,95,75,12,88,7,NG
2025-08-24,AMBEDKAR-NAGAR,BHITI,25.5,30.1,26.0,95,78,13,87,7,HEAVY-RAIN
2025-08-25,AMBEDKAR-NAGAR,BHITI,31.4,30.2,26.0,95,75,12,85,8,HEAVY-RAIN
2025-08-26,AMBEDKAR-NAGAR,BHITI,15.0,32.1,26.1,93,72,11,146,6,Nil
2025-08-22,AMBEDKAR-NAGAR,BHIYAWAN,28.4,32.0,26.1,94,73,3,115,6,"NG, HEAVY-RAIN"
2025-08-23,AMBEDKAR-NAGAR,BHIYAWAN,17.1,30.2,26.0,95,75,12,88,7,NG
2025-08-24,AMBEDKAR-NAGAR,BHIYAWAN,25.4,30.1,26.0,95,78,13,87,7,HEAVY-RAIN
2025-08-25,AMBEDKAR-NAGAR,BHIYAWAN,31.6,30.2,26.0,95,75,12,85,8,HEAVY-RAIN
2025-08-26,AMBEDKAR-NAGAR,BHIYAWAN,15.3,32.1,26.2,93,72,11,92,6,Nil
2025-08-22,AMBEDKAR-NAGAR,JAHANGIR-GANJ,28.8,32.1,26.1,94,73,3,109,6,"NG, HEAVY-RAIN"
2025-08-23,AMBEDKAR-NAGAR,JAHANGIR-GANJ,17.7,30.3,26.1,95,75,12,88,7,NG
2025-08-24,AMBEDKAR-NAGAR,JAHANGIR-GANJ,25.5,30.1,26.0,95,78,13,87,7,HEAVY-RAIN
2025-08-25,AMBEDKAR-NAGAR,JAHANGIR-GANJ,31.7,30.3,26.1,95,75,12,85,8,HEAVY-RAIN
2025-08-26,AMBEDKAR-NAGAR,JAHANGIR-GANJ,15.4,32.2,26.2,93,71,11,92,6,Nil
2025-08-22,AMBEDKAR-NAGAR,JALAL-PUR,28.5,32.0,26.1,94,73,3,121,6,"NG, HEAVY-RAIN"
2025-08-23,AMBEDKAR-NAGAR,JALAL-PUR,17.4,30.2,26.0,95,75,12,89,7,NG
2025-08-24,AMBEDKAR-NAGAR,JALAL-PUR,25.0,30.0,26.0,95,78,13,87,7,HEAVY-RAIN
2025-08-25,AMBEDKAR-NAGAR,JALAL-PUR,31.7,30.2,26.0,95,75,12,85,8,HEAVY-RAIN
2025-08-26,AMBEDKAR-NAGAR,JALAL-PUR,15.4,32.1,26.1,93,72,11,92,6,Nil
2025-08-22,AMBEDKAR-NAGAR,KATEHARI,28.4,32.0,26.0,94,73,3,117,6,"NG, HEAVY-RAIN"
2025-08-23,AMBEDKAR-NAGAR,KATEHARI,16.6,30.2,26.0,95,75,12,88,7,NG
2025-08-24,AMBEDKAR-NAGAR,KATEHARI,25.4,30.1,26.0,95,78,13,87,7,HEAVY-RAIN
2025-08-25,AMBEDKAR-NAGAR,KATEHARI,31.4,30.2,26.0,95,75,12,85,8,HEAVY-RAIN
2025-08-26,AMBEDKAR-NAGAR,KATEHARI,14.8,32.1,26.1,93,72,11,146,6,Nil
2025-08-22,AMBEDKAR-NAGAR,RAM-NAGAR,28.0,32.0,26.1,94,73,3,111,6,"NG, HEAVY-RAIN"
2025-08-23,AMBEDKAR-NAGAR,RAM-NAGAR,16.6,30.2,26.0,95,75,12,88,7,NG
2025-08-24,AMBEDKAR-NAGAR,RAM-NAGAR,26.0,30.1,26.0,95,78,13,87,7,HEAVY-RAIN
2025-08-25,AMBEDKAR-NAGAR,RAM-NAGAR,31.4,30.2,26.0,95,75,12,85,8,HEAVY-RAIN
2025-08-26,AMBEDKAR-NAGAR,RAM-NAGAR,14.4,32.1,26.2,93,72,11,92,6,Nil
2025-08-22,AMBEDKAR-NAGAR,TANDA,28.3,32.0,26.1,94,73,3,111,6,"NG, HEAVY-RAIN"
2025-08-23,AMBEDKAR-NAGAR,TANDA,16.5,30.2,26.0,95,75,12,88,7,NG
2025-08-24,AMBEDKAR-NAGAR,TANDA,25.4,30.1,26.0,95,78,13,87,7,HEAVY-RAIN
2025-08-25,AMBEDKAR-NAGAR,TANDA,31.3,30.2,26.0,95,75,12,85,8,HEAVY-RAIN
2025-08-26,AMBEDKAR-NAGAR,TANDA,14.5,32.1,26.2,93,72,11,92,6,Nil
2025-08-22,AMETHI,AMETHI,16.8,32.0,26.0,94,71,4,111,6,NG
2025-08-23,AMETHI,AMETHI,23.3,30.2,26.0,96,74,3,148,7,NG
2025-08-24,AMETHI,AMETHI,26.2,29.3,26.0,96,76,7,95,7,HEAVY-RAIN
2025-08-25,AMETHI,AMETHI,31.3,30.1,26.0,97,76,11,142,8,HEAVY-RAIN
2025-08-26,AMETHI,AMETHI,12.6,31.2,26.1,96,73,8,93,6,Nil
2025-08-22,AMETHI,BAHADURPUR,16.9,32.0,26.0,94,71,4,114,6,NG
2025-08-23,AMETHI,BAHADURPUR,24.9,30.2,26.0,96,74,3,155,7,NG
2025-08-24,AMETHI,BAHADURPUR,25.7,29.2,26.0,96,76,7,93,7,HEAVY-RAIN
2025-08-25,AMETHI,BAHADURPUR,31.4,30.2,26.0,97,76,10,89,8,HEAVY-RAIN
2025-08-26,AMETHI,BAHADURPUR,12.9,31.2,26.1,96,73,8,97,6,Nil
2025-08-22,AMETHI,BHADAR,17.4,32.0,26.0,94,71,4,112,6,NG
2025-08-23,AMETHI,BHADAR,24.0,30.2,26.0,96,74,3,153,7,NG
2025-08-24,AMETHI,BHADAR,26.0,29.3,26.0,96,76,8,148,7,HEAVY-RAIN
2025-08-25,AMETHI,BHADAR,31.5,30.1,26.0,97,76,11,88,8,HEAVY-RAIN
2025-08-26,AMETHI,BHADAR,12.9,31.2,26.1,96,73,8,93,6,Nil
2025-08-22,AMETHI,BHETUA,16.8,32.0,26.0,94,71,4,111,6,NG
2025-08-23,AMETHI,BHETUA,23.3,30.2,26.0,96,74,3,146,7,NG
2025-08-24,AMETHI,BHETUA,26.2,29.3,26.0,96,76,8,95,7,HEAVY-RAIN
2025-08-25,AMETHI,BHETUA,31.3,30.1,26.0,97,76,11,142,8,HEAVY-RAIN
2025-08-26,AMETHI,BHETUA,12.6,31.2,26.1,96,73,8,93,6,Nil
2025-08-22,AMETHI,GAURIGANJ,16.8,32.0,26.0,94,71,4,110,6,NG
2025-08-23,AMETHI,GAURIGANJ,24.4,30.2,26.0,96,74,3,146,7,NG
2025-08-24,AMETHI,GAURIGANJ,26.2,29.3,26.0,96,76,8,95,7,HEAVY-RAIN
2025-08-25,AMETHI,GAURIGANJ,31.6,30.1,26.0,97,76,11,142,8,HEAVY-RAIN
2025-08-26,AMETHI,GAURIGANJ,12.7,31.2,26.1,96,73,9,93,6,Nil
2025-08-22,AMETHI,JAGDISHPUR,17.0,32.0,26.0,94,71,4,106,6,NG
2025-08-23,AMETHI,JAGDISHPUR,22.0,30.2,26.0,96,74,3,132,7,NG
2025-08-24,AMETHI,JAGDISHPUR,26.4,29.2,26.0,96,76,8,96,7,HEAVY-RAIN
2025-08-25,AMETHI,JAGDISHPUR,31.5,30.1,26.0,97,76,11,87,8,HEAVY-RAIN
2025-08-26,AMETHI,JAGDISHPUR,13.2,31.2,26.0,96,73,10,91,6,Nil
2025-08-22,AMETHI,JAMO,17.1,32.0,26.1,94,71,4,107,6,NG
2025-08-23,AMETHI,JAMO,23.7,30.2,26.0,96,74,3,132,7,NG
2025-08-24,AMETHI,JAMO,26.6,29.3,26.0,96,76,8,95,7,HEAVY-RAIN
2025-08-25,AMETHI,JAMO,31.9,30.1,26.0,97,76,11,87,8,HEAVY-RAIN
2025-08-26,AMETHI,JAMO,12.9,31.2,26.1,96,73,9,91,6,Nil
2025-08-22,AMETHI,MUSHAFIR-KHANA,16.8,32.0,26.1,94,71,4,107,6,NG
2025-08-23,AMETHI,MUSHAFIR-KHANA,22.7,30.2,26.0,96,74,3,129,7,NG
2025-08-24,AMETHI,MUSHAFIR-KHANA,27.6,29.3,26.0,96,76,8,95,7,HEAVY-RAIN
2025-08-25,AMETHI,MUSHAFIR-KHANA,31.6,30.1,26.0,97,76,11,87,8,HEAVY-RAIN
2025-08-26,AMETHI,MUSHAFIR-KHANA,12.9,31.2,26.1,96,73,9,91,6,Nil
2025-08-22,AMETHI,SANGRAMPUR,17.3,32.0,26.1,94,71,4,90,6,NG
2025-08-23,AMETHI,SANGRAMPUR,21.0,30.2,26.0,96,74,3,139,7,NG
2025-08-24,AMETHI,SANGRAMPUR,25.6,29.3,26.0,96,76,7,96,7,HEAVY-RAIN
2025-08-25,AMETHI,SANGRAMPUR,31.3,30.1,26.0,97,76,11,89,8,HEAVY-RAIN
2025-08-26,AMETHI,SANGRAMPUR,13.1,31.2,26.1,96,73,9,93,6,Nil
2025-08-22,AMETHI,SHAHGARH,16.6,32.0,26.0,94,71,4,110,6,NG
2025-08-23,AMETHI,SHAHGARH,23.9,30.2,26.0,96,74,3,146,7,NG
2025-08-24,AMETHI,SHAHGARH,26.2,29.3,26.0,96,76,8,95,7,HEAVY-RAIN
2025-08-25,AMETHI,SHAHGARH,31.4,30.1,26.0,97,76,11,142,8,HEAVY-RAIN
2025-08-26,AMETHI,SHAHGARH,12.9,31.2,26.1,96,73,9,93,6,Nil
2025-08-22,AMETHI,SHUKUL-BAZAR,17.5,32.0,26.0,94,71,4,105,6,NG
2025-08-23,AMETHI,SHUKUL-BAZAR,21.1,30.2,26.0,96,74,3,131,7,NG
2025-08-24,AMETHI,SHUKUL-BAZAR,27.1,29.2,26.0,96,76,8,96,7,HEAVY-RAIN
2025-08-25,AMETHI,SHUKUL-BAZAR,31.6,30.1,26.0,97,76,11,87,8,HEAVY-RAIN
2025-08-26,AMETHI,SHUKUL-BAZAR,13.4,31.2,26.0,96,73,10,91,6,Nil
2025-08-22,AMETHI,SINGHPUR,17.5,32.0,26.1,94,71,4,105,6,NG
2025-08-23,AMETHI,SINGHPUR,20.3,30.2,26.0,96,74,3,134,7,NG
2025-08-24,AMETHI,SINGHPUR,27.5,29.3,26.0,96,76,8,96,7,HEAVY-RAIN
2025-08-25,AMETHI,SINGHPUR,31.2,30.0,26.0,97,76,11,87,8,HEAVY-RAIN
2025-08-26,AMETHI,SINGHPUR,13.0,31.2,26.0,96,73,9,91,6,Nil
2025-08-22,AMETHI,TILOI,17.7,32.0,26.1,94,71,4,105,6,NG
2025-08-23,AMETHI,TILOI,20.8,30.2,26.0,96,74,3,135,7,NG
2025-08-24,AMETHI,TILOI,26.1,29.3,26.0,96,76,8,95,7,HEAVY-RAIN
2025-08-25,AMETHI,TILOI,31.3,30.1,26.0,97,76,11,87,8,HEAVY-RAIN
2025-08-26,AMETHI,TILOI,13.1,31.2,26.0,96,73,9,91,6,Nil
2025-08-22,AMROHA,AMROHA,5.7,32.0,26.0,94,68,11,95,7,Nil
2025-08-23,AMROHA,AMROHA,9.7,31.2,25.1,94,69,14,101,5,NG
2025-08-24,AMROHA,AMROHA,17.1,30.1,25.1,95,72,16,102,7,HEAVY-RAIN
2025-08-25,AMROHA,AMROHA,16.8,28.2,25.0,96,78,14,95,8,Nil
2025-08-26,AMROHA,AMROHA,5.9,29.1,25.0,96,76,14,84,7,Nil
2025-08-22,AMROHA,DHANAURA,5.7,32.0,26.0,94,68,11,94,7,Nil
2025-08-23,AMROHA,DHANAURA,9.8,31.2,25.1,94,69,14,100,5,NG
2025-08-24,AMROHA,DHANAURA,17.0,30.2,25.1,95,72,16,102,7,HEAVY-RAIN
2025-08-25,AMROHA,DHANAURA,17.0,28.2,25.0,96,78,14,94,8,Nil
2025-08-26,AMROHA,DHANAURA,6.2,29.1,25.0,96,76,14,83,7,Nil
2025-08-22,AMROHA,GAJRAULA,5.9,32.0,26.0,94,68,11,94,7,Nil
2025-08-23,AMROHA,GAJRAULA,10.0,31.1,25.2,94,69,14,100,5,NG
2025-08-24,AMROHA,GAJRAULA,17.0,30.2,25.1,95,72,16,102,7,HEAVY-RAIN
2025-08-25,AMROHA,GAJRAULA,17.2,28.2,25.0,96,78,14,94,8,Nil
2025-08-26,AMROHA,GAJRAULA,6.3,29.1,25.0,96,76,14,83,7,Nil
2025-08-22,AMROHA,GANGESHWARI,6.1,32.1,26.1,94,68,11,92,7,Nil
2025-08-23,AMROHA,GANGESHWARI,11.1,31.2,25.2,94,69,14,99,5,NG
