State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price
Uttar Pradesh,Amethi,Sultanpur,Mousambi(Sweet Lime),Mousambi,Medium,23-08-2025,3380,3480,3400
Uttar Pradesh,Amethi,Sultanpur,Potato,Desi,FAQ,23-08-2025,1050,1075,1065
Uttar Pradesh,Amethi,Sultanpur,Rice,Common,FAQ,23-08-2025,3250,3345,3300
Uttar Pradesh,Amethi,Sultanpur,Tomato,Deshi,Non-FAQ,23-08-2025,3750,3785,3770
Uttar Pradesh,Amroha,Amroha,Apple,Delicious,Medium,23-08-2025,8500,8700,8600
Uttar Pradesh,Amroha,Amroha,Bottle gourd,Bottle Gourd,FAQ,23-08-2025,1220,1320,1280
Uttar Pradesh,Amroha,Amroha,Rice,III,FAQ,23-08-2025,3220,3250,3240
Uttar Pradesh,Amroha,Amroha,Tomato,Deshi,FAQ,23-08-2025,4000,4100,4050
Uttar Pradesh,Amroha,Dhanaura,Banana,Medium,Medium,23-08-2025,1000,1500,1200
Uttar Pradesh,Amroha,Hasanpur,Apple,Delicious,Medium,23-08-2025,4210,5000,4520
Uttar Pradesh,Amroha,Hasanpur,Bottle gourd,Bottle Gourd,FAQ,23-08-2025,1410,1500,1450
Uttar Pradesh,Amroha,Hasanpur,Green Chilli,Green Chilly,FAQ,23-08-2025,1810,2000,1850
Uttar Pradesh,Amroha,Hasanpur,Mousambi(Sweet Lime),Mousambi,Medium,23-08-2025,1810,2000,1850
Uttar Pradesh,Amroha,Hasanpur,Potato,Potato,FAQ,23-08-2025,810,1000,850
Uttar Pradesh,Amroha,Hasanpur,Raddish,Other,FAQ,23-08-2025,1410,1500,1450
Uttar Pradesh,Amroha,Hasanpur,Ridgeguard(Tori),Other,FAQ,23-08-2025,1410,1500,1450
Uttar Pradesh,Amroha,Hasanpur,Spinach,Other,FAQ,23-08-2025,1410,1500,1450
Uttar Pradesh,Auraiya,Achalda,Bottle gourd,Bottle Gourd,FAQ,23-08-2025,1250,1350,1300
Uttar Pradesh,Auraiya,Achalda,Cabbage,Cabbage,FAQ,23-08-2025,2100,2200,2150
Uttar Pradesh,Auraiya,Achalda,Tomato,Hybrid,FAQ,23-08-2025,3780,4000,3910
Uttar Pradesh,Auraiya,Auraiya,Bottle gourd,Bottle Gourd,FAQ,23-08-2025,1225,1440,1350
Uttar Pradesh,Auraiya,Auraiya,Brinjal,Round,FAQ,23-08-2025,1530,1710,1625
Uttar Pradesh,Auraiya,Auraiya,Pomegranate,Pomogranate,Medium,23-08-2025,4965,5300,5170
Uttar Pradesh,Auraiya,Auraiya,Sponge gourd,Sponge gourd,FAQ,23-08-2025,1735,1920,1830
Uttar Pradesh,Auraiya,Dibiapur,Cabbage,Cabbage,FAQ,23-08-2025,1400,1600,1500
Uttar Pradesh,Auraiya,Dibiapur,Cauliflower,Cauliflower,FAQ,23-08-2025,1400,1575,1500
Uttar Pradesh,Auraiya,Dibiapur,Little gourd (Kundru),Little gourd (Kundru),FAQ,23-08-2025,1200,1375,1300
Uttar Pradesh,Auraiya,Dibiapur,Potato,Desi,Non-FAQ,23-08-2025,700,900,800
Uttar Pradesh,Ayodhya,Faizabad,Gur(Jaggery),Red,FAQ,23-08-2025,4450,4530,4500
Uttar Pradesh,Ayodhya,Faizabad,Lentil (Masur)(Whole),Masoor Gola,FAQ,23-08-2025,7200,7380,7320
Uttar Pradesh,Ayodhya,Faizabad,Maize,Hybrid,FAQ,23-08-2025,2350,2430,2395
Uttar Pradesh,Ayodhya,Faizabad,Mustard,Sarson(Black),FAQ,23-08-2025,6370,6520,6480
Uttar Pradesh,Ayodhya,Faizabad,Paddy(Dhan)(Common),Common,FAQ,23-08-2025,2100,2300,2195
Uttar Pradesh,Ayodhya,Faizabad,Wheat,Dara,Non-FAQ,23-08-2025,2400,2490,2460
Uttar Pradesh,Azamgarh,Azamgarh,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,23-08-2025,9850,9950,9900
Uttar Pradesh,Azamgarh,Azamgarh,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,23-08-2025,6575,6675,6625
Uttar Pradesh,Azamgarh,Azamgarh,Bitter gourd,Bitter Gourd,FAQ,23-08-2025,2325,2475,2400
Uttar Pradesh,Azamgarh,Azamgarh,Bottle gourd,Bottle Gourd,FAQ,23-08-2025,1450,1600,1525
Uttar Pradesh,Azamgarh,Azamgarh,Ginger(Green),Green Ginger,FAQ,23-08-2025,3625,3775,3700
Uttar Pradesh,Azamgarh,Azamgarh,Masur Dal,Masur Dal,FAQ,23-08-2025,7650,7750,7700
Uttar Pradesh,Azamgarh,Azamgarh,Potato,Desi,FAQ,23-08-2025,990,1150,1065
Uttar Pradesh,Azamgarh,Azamgarh,Rice,III,FAQ,23-08-2025,3335,3435,3385
Uttar Pradesh,Azamgarh,Azamgarh,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,23-08-2025,2025,2175,2100
Uttar Pradesh,Badaun,Babrala,Wood,Eucalyptus,FAQ,23-08-2025,580,600,590
Uttar Pradesh,Badaun,Badayoun,Bottle gourd,Bottle Gourd,FAQ,23-08-2025,1300,1420,1365
Uttar Pradesh,Badaun,Badayoun,Cabbage,Cabbage,FAQ,23-08-2025,1610,1730,1660
Uttar Pradesh,Badaun,Badayoun,Papaya,Papaya,Medium,23-08-2025,2700,2830,2765
Uttar Pradesh,Badaun,Badayoun,Potato,Desi,Non-FAQ,23-08-2025,900,1000,950
Uttar Pradesh,Badaun,Shahaswan,Apple,Other,Medium,23-08-2025,7800,8500,8000
Uttar Pradesh,Badaun,Shahaswan,Onion,Red,Non-FAQ,23-08-2025,1400,1600,1500
Uttar Pradesh,Badaun,Wazirganj,Apple,Delicious,Medium,23-08-2025,7300,7350,7325
Uttar Pradesh,Badaun,Wazirganj,Potato,Desi,FAQ,23-08-2025,1050,1100,1075
Uttar Pradesh,Baghpat,Bagpat,Bhindi(Ladies Finger),Bhindi,FAQ,23-08-2025,1500,1700,1600
Uttar Pradesh,Baghpat,Bagpat,Sponge gourd,Sponge gourd,FAQ,23-08-2025,1400,1600,1500
Uttar Pradesh,Baghpat,Baraut,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,23-08-2025,7470,7670,7585
Uttar Pradesh,Baghpat,Baraut,Bhindi(Ladies Finger),Bhindi,FAQ,23-08-2025,1600,1700,1650
Uttar Pradesh,Baghpat,Baraut,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,23-08-2025,9800,10200,10020
Uttar Pradesh,Baghpat,Baraut,Bottle gourd,Bottle Gourd,FAQ,23-08-2025,1450,1550,1500
Uttar Pradesh,Baghpat,Baraut,Cabbage,Cabbage,FAQ,23-08-2025,1650,1750,1700
Uttar Pradesh,Baghpat,Baraut,Cauliflower,Cauliflower,FAQ,23-08-2025,3500,3600,3550
Uttar Pradesh,Baghpat,Baraut,Cucumbar(Kheera),Cucumbar,FAQ,23-08-2025,1900,2000,1965
Uttar Pradesh,Baghpat,Baraut,Potato,Desi,FAQ,23-08-2025,900,1200,1050
Uttar Pradesh,Baghpat,Baraut,Rice,III,FAQ,23-08-2025,3200,3400,3325
Uttar Pradesh,Baghpat,Khekda,Bottle gourd,Bottle Gourd,FAQ,23-08-2025,1200,1600,1400
Uttar Pradesh,Baghpat,Khekda,Potato,Potato,FAQ,23-08-2025,1200,1500,1400
Uttar Pradesh,Baghpat,Khekda,Pumpkin,Pumpkin,FAQ,23-08-2025,500,700,600
Uttar Pradesh,Bahraich,Naanpara,Wheat,Dara,FAQ,23-08-2025,2400,2450,2425
Uttar Pradesh,Ballia,Ballia,Ginger(Green),Green Ginger,FAQ,23-08-2025,3720,3800,3760
Uttar Pradesh,Ballia,Ballia,Lemon,Lemon,FAQ,23-08-2025,4500,4580,4540
Uttar Pradesh,Ballia,Ballia,Lentil (Masur)(Whole),Masoor Gola,FAQ,23-08-2025,6860,6920,6890
Uttar Pradesh,Ballia,Ballia,Mousambi(Sweet Lime),Mousambi,Medium,23-08-2025,3560,3670,3615
Uttar Pradesh,Ballia,Ballia,Rice,III,FAQ,23-08-2025,3365,3410,3385
Uttar Pradesh,Ballia,Rasda,Banana,Banana - Ripe,Medium,23-08-2025,2755,2890,2810
Uttar Pradesh,Ballia,Rasda,Garlic,Average,FAQ,23-08-2025,6350,6520,6425
Uttar Pradesh,Ballia,Rasda,Green Chilli,Green Chilly,FAQ,23-08-2025,4875,5000,4925
Uttar Pradesh,Ballia,Rasda,Tomato,Deshi,FAQ,23-08-2025,4020,4155,4080
Uttar Pradesh,Balrampur,Balrampur,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,23-08-2025,9600,9800,9700
Uttar Pradesh,Balrampur,Balrampur,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,23-08-2025,6700,6900,6800
Uttar Pradesh,Balrampur,Balrampur,Gur(Jaggery),Red,FAQ,23-08-2025,4550,4750,4650
Uttar Pradesh,Balrampur,Balrampur,Rice,III,FAQ,23-08-2025,3075,3285,3180
Uttar Pradesh,Balrampur,Tulsipur,Apple,Kasmir/Shimla - II,Medium,23-08-2025,8170,8250,8220
Uttar Pradesh,Balrampur,Tulsipur,Green Chilli,Green Chilly,FAQ,23-08-2025,1570,1670,1620
Uttar Pradesh,Balrampur,Tulsipur,Pumpkin,Pumpkin,FAQ,23-08-2025,1420,1470,1450
Uttar Pradesh,Banda,Banda,Bitter gourd,Bitter Gourd,FAQ,23-08-2025,2575,2775,2675
Uttar Pradesh,Banda,Banda,Cabbage,Cabbage,FAQ,23-08-2025,1650,1785,1720
Uttar Pradesh,Banda,Banda,Garlic,Garlic,FAQ,23-08-2025,5750,5950,5850
Uttar Pradesh,Banda,Banda,Rice,III,FAQ,23-08-2025,3220,3385,3300
Uttar Pradesh,Barabanki,Barabanki,Garlic,Garlic,FAQ,23-08-2025,6360,6460,6410
Uttar Pradesh,Barabanki,Barabanki,Green Chilli,Green Chilly,FAQ,23-08-2025,4800,4900,4850
Uttar Pradesh,Barabanki,Barabanki,Gur(Jaggery),Yellow,FAQ,23-08-2025,4530,4600,4570
Uttar Pradesh,Barabanki,Barabanki,Mousambi(Sweet Lime),Mousambi,Medium,23-08-2025,3400,3500,3450
Uttar Pradesh,Barabanki,Barabanki,Papaya,Papaya,Medium,23-08-2025,2760,2860,2810
Uttar Pradesh,Bareilly,Anwala,Onion,Red,FAQ,23-08-2025,1200,1500,1400
Uttar Pradesh,Bareilly,Anwala,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,23-08-2025,1200,1500,1400
Uttar Pradesh,Bareilly,Anwala,Tomato,Deshi,FAQ,23-08-2025,3000,4000,3500
Uttar Pradesh,Bareilly,Bareilly,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,23-08-2025,6625,6720,6675
Uttar Pradesh,Bareilly,Bareilly,Bhindi(Ladies Finger),Bhindi,FAQ,23-08-2025,1720,1785,1755
Uttar Pradesh,Bareilly,Bareilly,Colacasia,Colacasia,FAQ,23-08-2025,2300,2350,2325
Uttar Pradesh,Bareilly,Bareilly,Garlic,Garlic,FAQ,23-08-2025,6400,6475,6435
Uttar Pradesh,Basti,Basti,Bottle gourd,Bottle Gourd,FAQ,23-08-2025,1500,1700,1600
Uttar Pradesh,Basti,Basti,Garlic,Garlic,FAQ,23-08-2025,6330,6530,6430
Uttar Pradesh,Basti,Basti,Paddy(Dhan)(Common),Common,FAQ,23-08-2025,2215,2300,2285
Uttar Pradesh,Basti,Basti,Tomato,Hybrid,FAQ,23-08-2025,3980,4180,4080
Uttar Pradesh,Bijnor,Bijnaur,Bhindi(Ladies Finger),Bhindi,FAQ,23-08-2025,1600,1650,1630
Uttar Pradesh,Bijnor,Bijnaur,Green Chilli,Green Chilly,FAQ,23-08-2025,4530,4600,4560
Uttar Pradesh,Bijnor,Chaandpur,Tomato,Hybrid,FAQ,23-08-2025,2400,2600,2500
Uttar Pradesh,Bulandshahar,Buland Shahr,Banana - Green,Banana - Green,FAQ,23-08-2025,1700,1950,1820
Uttar Pradesh,Bulandshahar,Buland Shahr,Mustard Oil,Mustard Oil,FAQ,23-08-2025,15500,16000,15800
Uttar Pradesh,Bulandshahar,Buland Shahr,Rice,III,FAQ,23-08-2025,3250,3400,3300
Uttar Pradesh,Bulandshahar,Buland Shahr,Sponge gourd,Sponge gourd,FAQ,23-08-2025,1800,2200,2000
Uttar Pradesh,Bulandshahar,Divai,Cauliflower,Cauliflower,FAQ,23-08-2025,1100,1250,1200
Uttar Pradesh,Bulandshahar,Divai,Tomato,Deshi,FAQ,23-08-2025,3600,3800,3700
Uttar Pradesh,Bulandshahar,Gulavati,Bitter gourd,Bitter Gourd,FAQ,23-08-2025,1500,1700,1600
Uttar Pradesh,Bulandshahar,Jahangirabad,Apple,Delicious,Medium,23-08-2025,8500,8690,8600
Uttar Pradesh,Bulandshahar,Jahangirabad,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,23-08-2025,9915,10155,10035
Uttar Pradesh,Bulandshahar,Jahangirabad,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,23-08-2025,1910,2100,2005
Uttar Pradesh,Bulandshahar,Khurja,Bhindi(Ladies Finger),Bhindi,FAQ,23-08-2025,1500,1700,1610
Uttar Pradesh,Bulandshahar,Khurja,Paddy(Dhan)(Basmati),Basmati 1509,FAQ,23-08-2025,2950,3100,3030
Uttar Pradesh,Bulandshahar,Sikarpur,Garlic,Garlic,FAQ,23-08-2025,6800,7000,6900
Uttar Pradesh,Bulandshahar,Sikarpur,Lemon,Lemon,FAQ,23-08-2025,4800,5000,4900
Uttar Pradesh,Chandauli,Chandoli,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,23-08-2025,7450,7525,7475
Uttar Pradesh,Chandauli,Chandoli,Bottle gourd,Bottle Gourd,FAQ,23-08-2025,1500,1600,1550
Uttar Pradesh,Chandauli,Chandoli,Brinjal,Brinjal,FAQ,23-08-2025,1575,1675,1625
Uttar Pradesh,Chandauli,Chandoli,Mousambi(Sweet Lime),Mousambi,Medium,23-08-2025,3475,3575,3525
Uttar Pradesh,Chandauli,Chandoli,Mustard,Sarson(Black),FAQ,23-08-2025,6975,7025,7000
Uttar Pradesh,Chandauli,Chandoli,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,23-08-2025,3180,3280,3230
Uttar Pradesh,Deoria,Devariya,Banana,Medium,Medium,23-08-2025,1750,1785,1760
Uttar Pradesh,Deoria,Devariya,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,23-08-2025,6630,6645,6635
Uttar Pradesh,Deoria,Devariya,Bhindi(Ladies Finger),Bhindi,FAQ,23-08-2025,1680,1715,1700
Uttar Pradesh,Etah,Aliganj,Maize,Hybrid,FAQ,23-08-2025,1950,1956,1955
Uttar Pradesh,Etah,Etah,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,23-08-2025,9500,10500,10150
Uttar Pradesh,Etah,Etah,Cauliflower,Cauliflower,FAQ,23-08-2025,3000,3500,3100
Uttar Pradesh,Etah,Etah,Lemon,Lemon,FAQ,23-08-2025,4000,4500,4200
Uttar Pradesh,Etawah,Bharthna,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,23-08-2025,6450,6650,6550
Uttar Pradesh,Etawah,Bharthna,Gur(Jaggery),Red,FAQ,23-08-2025,4260,4460,4360
Uttar Pradesh,Etawah,Bharthna,Potato,Desi,FAQ,23-08-2025,1000,1200,1100
Uttar Pradesh,Etawah,Bharthna,Wheat,Dara,FAQ,23-08-2025,2450,2560,2510
Uttar Pradesh,Etawah,Etawah,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,23-08-2025,10300,10600,10500
Uttar Pradesh,Etawah,Etawah,Bitter gourd,Bitter Gourd,FAQ,23-08-2025,2250,2500,2450
Uttar Pradesh,Etawah,Etawah,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,23-08-2025,11400,11700,11600
Uttar Pradesh,Etawah,Etawah,Cabbage,Cabbage,FAQ,23-08-2025,1850,2150,2050
Uttar Pradesh,Etawah,Etawah,Capsicum,Capsicum,FAQ,23-08-2025,5150,5450,5350
Uttar Pradesh,Etawah,Etawah,Ginger(Green),Green Ginger,FAQ,23-08-2025,3300,3600,3500
Uttar Pradesh,Etawah,Etawah,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,23-08-2025,9500,9800,9700
Uttar Pradesh,Etawah,Etawah,Papaya,Papaya,Medium,23-08-2025,2800,3100,3000
Uttar Pradesh,Etawah,Etawah,Pumpkin,Pumpkin,FAQ,23-08-2025,1350,1650,1550
Uttar Pradesh,Etawah,Etawah,Tomato,Hybrid,FAQ,23-08-2025,3400,3700,3600
Uttar Pradesh,Etawah,Jasvantnagar,Bottle gourd,Bottle Gourd,FAQ,23-08-2025,1020,1120,1070
Uttar Pradesh,Etawah,Jasvantnagar,Cucumbar(Kheera),Cucumbar,FAQ,23-08-2025,1610,1710,1660
Uttar Pradesh,Etawah,Jasvantnagar,Green Chilli,Green Chilly,FAQ,23-08-2025,4270,4370,4320
Uttar Pradesh,Etawah,Jasvantnagar,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,23-08-2025,3110,3210,3160
Uttar Pradesh,Etawah,Jasvantnagar,Pomegranate,Pomogranate,Medium,23-08-2025,4965,5065,5015
Uttar Pradesh,Etawah,Jasvantnagar,Tomato,Hybrid,FAQ,23-08-2025,3570,3670,3620
Uttar Pradesh,Farukhabad,Farukhabad,Garlic,Garlic,FAQ,23-08-2025,5700,5950,5800
Uttar Pradesh,Farukhabad,Farukhabad,Ginger(Green),Green Ginger,FAQ,23-08-2025,3850,4050,3975
Uttar Pradesh,Farukhabad,Farukhabad,Jack Fruit,Jack Fruit,Medium,23-08-2025,1200,1400,1325
Uttar Pradesh,Farukhabad,Farukhabad,Mousambi(Sweet Lime),Mousambi,Medium,23-08-2025,3100,3250,3200
Uttar Pradesh,Farukhabad,Farukhabad,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,23-08-2025,3300,3450,3400
Uttar Pradesh,Farukhabad,Farukhabad,Potato,Local,FAQ,23-08-2025,775,1000,870
Uttar Pradesh,Farukhabad,Farukhabad,Sponge gourd,Sponge gourd,FAQ,23-08-2025,1700,1900,1800
Uttar Pradesh,Farukhabad,Farukhabad,Tomato,Hybrid,FAQ,23-08-2025,3900,4100,3975
Uttar Pradesh,Farukhabad,Kayamganj,Bottle gourd,Bottle Gourd,FAQ,23-08-2025,1100,1200,1150
Uttar Pradesh,Farukhabad,Mohamadabad,Green Chilli,Green Chilly,FAQ,23-08-2025,4450,4650,4550
Uttar Pradesh,Farukhabad,Mohamadabad,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,23-08-2025,9650,9850,9750
Uttar Pradesh,Farukhabad,Mohamadabad,Pomegranate,Pomogranate,Medium,23-08-2025,5550,5750,5650
Uttar Pradesh,Farukhabad,Mohamadabad,Wheat,Dara,FAQ,23-08-2025,2515,2540,2525
Uttar Pradesh,Fatehpur,Fatehpur,Brinjal,Brinjal,FAQ,23-08-2025,1600,1700,1650
Uttar Pradesh,Fatehpur,Fatehpur,Colacasia,Colacasia,FAQ,23-08-2025,1800,1915,1860
Uttar Pradesh,Fatehpur,Fatehpur,Gur(Jaggery),Red,FAQ,23-08-2025,4270,4500,4380
Uttar Pradesh,Fatehpur,Fatehpur,Sponge gourd,Sponge gourd,FAQ,23-08-2025,1700,1915,1815
Uttar Pradesh,Fatehpur,Khaga,Garlic,Desi,FAQ,23-08-2025,6300,6465,6400
Uttar Pradesh,Fatehpur,Khaga,Ginger(Green),Green Ginger,FAQ,23-08-2025,4200,4385,4300
Uttar Pradesh,Fatehpur,Khaga,Sponge gourd,Sponge gourd,FAQ,23-08-2025,1845,1990,1900
Uttar Pradesh,Fatehpur,Khaga,Tomato,Hybrid,FAQ,23-08-2025,4050,4250,4140
Uttar Pradesh,Firozabad,Firozabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,23-08-2025,9350,9670,9510
Uttar Pradesh,Firozabad,Firozabad,Lentil (Masur)(Whole),Masoor Gola,FAQ,23-08-2025,7100,7270,7185
Uttar Pradesh,Firozabad,Firozabad,White Peas,White Peas,FAQ,23-08-2025,3960,4100,4025
Uttar Pradesh,Firozabad,Tundla,Bhindi(Ladies Finger),Bhindi,FAQ,23-08-2025,1340,1370,1350
Uttar Pradesh,Firozabad,Tundla,Pomegranate,Pomogranate,Medium,23-08-2025,6250,6325,6300
Uttar Pradesh,Gautam Budh Nagar,Dadri,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,23-08-2025,7350,7750,7550
Uttar Pradesh,Gautam Budh Nagar,Dadri,Bhindi(Ladies Finger),Bhindi,FAQ,23-08-2025,1550,1770,1650
Uttar Pradesh,Gautam Budh Nagar,Dadri,Capsicum,Capsicum,FAQ,23-08-2025,4850,5100,4950
Uttar Pradesh,Gautam Budh Nagar,Dadri,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,23-08-2025,9500,9900,9700
Uttar Pradesh,Gautam Budh Nagar,Dadri,Potato,Desi,FAQ,23-08-2025,960,1200,1060
Uttar Pradesh,Gautam Budh Nagar,Dadri,Pumpkin,Pumpkin,FAQ,23-08-2025,1300,1520,1400
Uttar Pradesh,Gautam Budh Nagar,Dadri,Spinach,Spinach,FAQ,23-08-2025,1600,1800,1700
Uttar Pradesh,Ghaziabad,Ghaziabad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,23-08-2025,10300,10400,10350
Uttar Pradesh,Ghaziabad,Ghaziabad,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,23-08-2025,6650,6750,6700
Uttar Pradesh,Ghaziabad,Ghaziabad,Bengal Gram(Gram)(Whole),Desi (Whole),Non-FAQ,23-08-2025,6450,6550,6500
Uttar Pradesh,Ghaziabad,Ghaziabad,Ginger(Green),Green Ginger,FAQ,23-08-2025,4350,4450,4400
Uttar Pradesh,Ghaziabad,Ghaziabad,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,23-08-2025,9650,9750,9700
Uttar Pradesh,Ghaziabad,Ghaziabad,Papaya,Papaya,Medium,23-08-2025,2730,2830,2780
Uttar Pradesh,Ghaziabad,Hapur,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,23-08-2025,10000,10800,10200
Uttar Pradesh,Ghaziabad,Hapur,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,23-08-2025,9940,10600,10000
Uttar Pradesh,Ghaziabad,Hapur,Green Chilli,Green Chilly,FAQ,23-08-2025,4450,4560,4500
Uttar Pradesh,Ghazipur,Gazipur,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,23-08-2025,9720,9780,9750
Uttar Pradesh,Ghazipur,Gazipur,Barley (Jau),Dara,FAQ,23-08-2025,2320,2350,2338
Uttar Pradesh,Ghazipur,Gazipur,Bitter gourd,Bitter Gourd,FAQ,23-08-2025,2370,2430,2400
Uttar Pradesh,Ghazipur,Gazipur,Ginger(Green),Green Ginger,FAQ,23-08-2025,3730,3790,3760
Uttar Pradesh,Ghazipur,Gazipur,Mustard Oil,Mustard Oil,FAQ,23-08-2025,14750,14800,14780
Uttar Pradesh,Ghazipur,Gazipur,Papaya,Papaya,Medium,23-08-2025,2720,2780,2750
Uttar Pradesh,Ghazipur,Gazipur,Potato,Desi,FAQ,23-08-2025,1030,1090,1060
Uttar Pradesh,Ghazipur,Yusufpur,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,23-08-2025,8700,8800,8750
Uttar Pradesh,Ghazipur,Yusufpur,Peas(Dry),Other,FAQ,23-08-2025,3225,3300,3250
Uttar Pradesh,Gonda,Gonda,Colacasia,Colacasia,FAQ,23-08-2025,1950,2100,2000
Uttar Pradesh,Gonda,Gonda,Cowpea(Veg),Cowpea (Veg),FAQ,23-08-2025,3870,4000,3900
Uttar Pradesh,Gonda,Gonda,Mousambi(Sweet Lime),Mousambi,Medium,23-08-2025,3750,3900,3800
